Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 1.0 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 62.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 1.0 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 55.00000000000001
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 1.0 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 60.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 1.0 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 40.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 1.0 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 50.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 1.0 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 47.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 1.0 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 45.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 1.0 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 47.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 1.0 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 45.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 1.0 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 52.5

Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 52.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 57.49999999999999
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 37.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 57.49999999999999
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 50.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.98 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 40.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.98 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 47.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.98 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 45.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.98 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 45.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.98 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 55.00000000000001
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 47.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 42.5
